"activityType","startTimestamp","endTimestamp","kilometers","hours","speed","timeOfDay","weekday","weekOfYear","month"
"CYCLING",2022-04-30 09:38:36,2022-04-30 09:52:56,4.22813311920841,0.238888888888889,17.6991618943608,"Morning","Saturday",18,"April"
"CYCLING",2022-04-30 21:01:42,2022-04-30 21:19:55,3.4616309051136,0.303611111111111,11.4015290561839,"Evening","Saturday",18,"April"
"WALKING",2022-04-18 17:59:08,2022-04-18 18:15:22,1.24531261194237,0.270555555555556,4.60279815502313,"Afternoon","Monday",16,"April"
"WALKING",2022-04-18 18:27:08,2022-04-18 18:45:23,1.34346195215031,0.304166666666667,4.41686121254897,"Afternoon","Monday",16,"April"
"WALKING",2022-04-21 13:55:53,2022-04-21 14:00:03,0.195848676499373,0.0694444444444444,2.82022094159097,"Afternoon","Thursday",16,"April"
"WALKING",2022-04-21 14:51:42,2022-04-21 14:59:48,0.632095151992124,0.135,4.68218631105277,"Afternoon","Thursday",16,"April"
"WALKING",2022-04-21 15:14:14,2022-04-21 15:22:25,0.650825440994891,0.136388888888889,4.77183622725379,"Afternoon","Thursday",16,"April"
"WALKING",2022-04-22 17:55:23,2022-04-22 17:59:35,0.491772709348698,0.07,7.02532441926711,"Afternoon","Friday",16,"April"
"WALKING",2022-04-22 18:23:21,2022-04-22 18:25:23,0.146064994542358,0.0338888888888889,4.31011459305319,"Afternoon","Friday",16,"April"
"WALKING",2022-04-23 12:58:35,2022-04-23 13:12:13,0.720393207536554,0.227222222222222,3.1704346541951,"Morning","Saturday",17,"April"
"WALKING",2022-04-23 14:57:41,2022-04-23 16:13:10,3.45893762180078,1.25805555555556,2.74943153863608,"Afternoon","Saturday",17,"April"
"WALKING",2022-04-23 16:44:35,2022-04-23 17:19:42,1.95816173179302,0.585277777777778,3.34569636186753,"Afternoon","Saturday",17,"April"
"WALKING",2022-04-23 18:18:01,2022-04-23 18:26:10,0.704466248782391,0.135833333333333,5.186254592263,"Afternoon","Saturday",17,"April"
"WALKING",2022-04-23 19:49:09,2022-04-23 19:51:28,0.0408535061594008,0.0386111111111111,1.05807641851686,"Evening","Saturday",17,"April"
"WALKING",2022-04-28 13:53:50,2022-04-28 14:04:18,0.204664329291369,0.174444444444444,1.17323500867664,"Afternoon","Thursday",17,"April"
"WALKING",2022-04-29 18:12:13,2022-04-29 18:14:29,0.194425238118133,0.0377777777777778,5.14655042077412,"Afternoon","Friday",17,"April"
"WALKING",2022-04-29 18:27:29,2022-04-29 18:31:04,0.270617545109985,0.0597222222222222,4.53127052277183,"Afternoon","Friday",17,"April"
"WALKING",2022-04-30 11:57:16,2022-04-30 12:07:32,0.630600399757268,0.171111111111111,3.68532701156845,"Morning","Saturday",18,"April"
"WALKING",2022-04-30 13:00:04,2022-04-30 13:00:55,0.0433867818598131,0.0141666666666667,3.06259636657504,"Afternoon","Saturday",18,"April"
"WALKING",2022-04-30 13:40:01,2022-04-30 13:57:41,1.02959852173715,0.294444444444444,3.49674969646581,"Afternoon","Saturday",18,"April"
"WALKING",2022-04-30 15:50:47,2022-04-30 16:03:32,0.807533467417873,0.2125,3.80015749373117,"Afternoon","Saturday",18,"April"
"WALKING",2022-04-30 16:23:03,2022-04-30 16:24:34,0.138441469632732,0.0252777777777778,5.47680539206411,"Afternoon","Saturday",18,"April"
"WALKING",2022-04-30 18:04:23,2022-04-30 18:10:55,0.284966537302549,0.108888888888889,2.61703962828871,"Afternoon","Saturday",18,"April"
"IN_TRAIN",2022-04-23 11:17:30,2022-04-23 12:51:20,76.439,1.56388888888889,48.877513321492,"Morning","Saturday",17,"April"
"IN_TRAIN",2022-04-23 18:31:25,2022-04-23 19:13:29,67.484,0.701111111111111,96.2529318541997,"Afternoon","Saturday",17,"April"
"IN_TRAIN",2022-04-23 19:22:57,2022-04-23 19:49:09,35.594,0.436666666666667,81.5129770992367,"Evening","Saturday",17,"April"
"IN_TRAIN",2022-04-30 10:07:40,2022-04-30 11:29:22,56.041,1.36166666666667,41.1561811505508,"Morning","Saturday",18,"April"
"IN_TRAIN",2022-04-30 11:45:15,2022-04-30 11:57:16,9.139,0.200277777777778,45.6316227461858,"Morning","Saturday",18,"April"
"IN_TRAIN",2022-04-30 18:25:11,2022-04-30 19:51:12,65.13,1.43361111111111,45.4307304785894,"Afternoon","Saturday",18,"April"
"CYCLING",2022-05-01 16:01:26,2022-05-01 16:37:00,2.86337076021219,0.592777777777778,4.83042864890529,"Afternoon","Sunday",18,"May"
